response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedd,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.9794,0.8064,0.4313,0.8033
Dem,35 to 49,Graduate or Professional Degree,White,Male,Other,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Unfavorable,Oppose,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 44,White,Eastern Wash.,85 percent or higher,Cell,0.8889,0.9777,0.908,0.6632,0.9018
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,South King County,85 percent or higher,Cell,1,0.9836,0.7937,0.4702,0.7906
Dem,65 and older,High school,White,Male,White,Oppose,support,Approve,Dems. take House,Favorable,No,Unfavorable,Don't know,65 and older,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Cell,1,0.8327,1.4104,1.2647,1.3944
Rep,35 to 49,High school,White,Female,White,Oppose,oppose,Approve,Reps. keep House,Don't know,Yes,Don't know,Support,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,18 to 44,White,South King County,Less than 50 percent,Cell,0.7778,0.4518,1.8299,4.6693,1.4691
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,South King County,50 to 85 percent,Cell,1,0.5067,1.1688,0.9904,1.2901
Dem,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Pierce,50 to 85 percent,Cell,1,0.5876,0.7575,0.5546,0.8134
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Cell,1,0.9878,0.5063,0.2582,0.5044
Rep,65 and older,High school,White,Male,White,Don't know,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9727,1.1631,0.917,1.1589
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Unfavorable,No,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9909,0.7537,0.3962,0.751
