response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.8719,0.7558,0.4793,0.7381,2018-10-30 23:09:40
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.97,0.6368,0.3642,0.618,2018-10-30 23:21:54
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9659,0.5999,0.2664,0.5827,2018-10-30 23:27:27
Dem,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,Eastern Wash.,50 to 85 percent,Landline,0.5556,0.7977,0.7174,0.3716,0.6315,2018-10-30 23:31:12
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,Less than 50 percent,Cell,1,0.3051,1.044,2.7176,1.24,2018-10-30 23:40:06
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 39,White,South King County,85 percent or higher,Cell,1,0.9545,0.8644,0.6182,0.8356,2018-10-30 23:57:39
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,South King County,50 to 85 percent,Cell,0.8889,0.5003,0.9396,1.1969,0.9087,2018-10-31 00:02:34
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South King County,50 to 85 percent,Cell,1,0.7567,2.1326,2.5842,2.1767,2018-10-31 00:19:44
Und,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Don't know,Don't know,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Eastern Wash.,50 to 85 percent,Landline,1,0.8288,0.8443,0.3058,0.8303,2018-10-31 00:23:56
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 39,White,Pierce,85 percent or higher,Cell,1,0.8533,0.5664,0.4127,0.5547,2018-10-31 00:32:02
Dem,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,Non-White,South King County,85 percent or higher,Cell,1,0.9618,1.2477,0.6004,1.2054,2018-10-31 00:37:14
Rep,50 to 64,Some college or trade school,White,Male,Black,Don't know,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9352,0.6789,0.4987,0.6633,2018-10-31 00:39:02
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,North King County,50 to 85 percent,Landline,1,0.8007,1.1325,0.7083,1.142,2018-10-31 00:44:26
Dem,50 to 64,Grade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Landline,1,0.9667,2.248,1.9306,2.183,2018-10-31 00:49:45
