response,ager,educ,file_race,gender,race_eth,approve,COAL,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,18 to 34,White,85 percent or higher,Cell,1,0.938,0.6459,0.4702,0.6473,2018-09-10 20:28:15
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,support,no,disagree,disagree,disagree,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Coal Country,18 to 34,White,Less than 50 percent,Cell,1,0.4688,1.0897,1.967,1.1577,2018-09-10 20:24:30
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,support,yes,disagree,agree,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,35 to 49,White,50 to 85 percent,Cell,1,0.8207,1.0819,0.661,1.0871,2018-09-10 20:21:57
Dem,18 to 34,Bachelors' degree,White,Female,White,Don't know,support,agree,Dems. take House,Favorable,Don't know,support,support,yes,disagree,agree,disagree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,18 to 34,White,50 to 85 percent,Cell,1,0.8067,1.191,0.5705,1.2323,2018-09-10 20:30:12
Dem,65 and older,Some college or trade school,White,Male,Other,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,no,agree,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.8857,0.9184,0.513,0.938,2018-09-10 20:25:24
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Unfavorable,Unfavorable,oppose,support,no,disagree,agree,agree,18 to 29,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Coal Country,18 to 34,White,Less than 50 percent,Cell,0.6667,0.046,1.1274,6.6344,0.9038,2018-09-10 20:26:00
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,support,support,yes,disagree,disagree,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,50 to 85 percent,Cell,1,0.85,1.1648,0.4683,1.1962,2018-09-10 20:24:03
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,oppose,oppose,yes,disagree,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,35 to 49,Unknown/Non-White,Less than 50 percent,Cell,1,0.3988,1.4026,2.1882,1.649,2018-09-10 20:20:09
Und,50 to 64,High school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,disagree,disagree,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9092,1.3,0.5818,1.3022,2018-09-10 20:17:36
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,oppose,oppose,yes,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,50 to 85 percent,Cell,1,0.7932,1.3879,0.9092,1.4396,2018-09-10 20:23:27
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9783,0.9502,0.5052,0.9613,2018-09-10 20:26:18
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,support,agree,Dems. take House,Favorable,Don't know,oppose,support,yes,disagree,disagree,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,18 to 34,White,85 percent or higher,Cell,1,0.9007,0.946,0.7595,0.9642,2018-09-10 20:27:30
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9543,0.4593,0.183,0.4653,2018-09-10 20:28:51
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,18 to 34,White,Less than 50 percent,Cell,1,0.3685,0.8219,1.2698,0.9029,2018-09-10 20:28:33
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,yes,agree,agree,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,50 to 64,White,50 to 85 percent,Cell,0.8889,0.6527,0.4126,0.2064,0.432,2018-09-10 20:20:54
Dem,65 and older,High school,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,oppose,oppose,yes,agree,disagree,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9837,2.0482,1.0332,2.0721,2018-09-10 20:25:24
Rep,65 and older,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,disagree,disagree,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9464,1.706,0.7959,1.7295,2018-09-10 20:20:27
Rep,65 and older,High school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9881,1.765,0.8279,1.7787,2018-09-10 20:24:21
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Unfavorable,Don't know,oppose,support,yes,agree,agree,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9048,0.6031,0.2889,0.6041,2018-09-10 20:30:57
Dem,18 to 34,Some college or trade school,White,Female,Hispanic,Approve,support,agree,Reps. keep House,Favorable,Favorable,support,support,no,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,Coal Country,50 to 64,White,85 percent or higher,Cell,0.1111,0.881,0.6471,0.3101,0.4956,2018-09-10 20:25:15
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,50 to 85 percent,Cell,1,0.8076,1.7828,1.0733,1.8443,2018-09-10 20:30:21
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Cell,1,0.951,1.0938,0.6009,1.1085,2018-09-10 20:19:06
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9656,0.6471,0.2847,0.655,2018-09-10 20:25:42
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,yes,Don't know,disagree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,85 percent or higher,Cell,1,0.9003,0.453,0.2116,0.4618,2018-09-10 20:28:42
Dem,35 to 49,Some college or trade school,White,Male,Other,Disapp.,oppose,agree,Dems. take House,Favorable,Favorable,support,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,Greenbrier/East,65 and older,White,85 percent or higher,Cell,1,0.9708,0.9854,0.5183,0.9899,2018-09-10 20:29:00
Rep,65 and older,High school,White,Male,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,disagree,disagree,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Cell,0.8889,0.8653,1.6438,1.0362,1.626,2018-09-10 20:23:09
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Don't know,oppose,oppose,no,disagree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9892,0.6523,0.2972,0.66,2018-09-10 20:27:39
